418, 51817, 65
418, 51884, 70
1896, 53242, 236
2327, 53710, 20
691, 52199, 351
2327, 53710, 26
1905, 53613, 254
1905, 53706, 253
691, 52199, 300
419, 51812, 222
419, 51868, 230
419, 51879, 237
1897, 53242, 238
2058, 53349, 137
655, 52162, 145
655, 52162, 105
2058, 53349, 145
2058, 53349, 149
655, 52162, 586
691, 52199, 249
2058, 53349, 141
2058, 53349, 105
1897, 53242, 206
393, 51794, 420
2058, 53349, 534
1905, 53613, 126
1905, 53706, 134
2058, 53349, 539
2058, 53349, 103
419, 51812, 124
419, 51868, 124
419, 51879, 122
691, 52199, 256
1905, 53613, 131
1905, 53706, 139
1905, 53613, 177
1905, 53706, 171
2058, 53349, 576
419, 51812, 147
419, 51868, 143
419, 51879, 152
1897, 53242, 146
2058, 53349, 565
419, 51812, 504
1905, 53613, 526
1905, 53706, 539
393, 51794, 573
691, 52199, 189
2058, 53349, 605
691, 52199, 499
419, 51812, 111
419, 51868, 120
419, 51879, 114
419, 51812, 87
419, 51868, 81
419, 51879, 98
691, 52199, 177
1905, 53613, 157
1905, 53706, 158
691, 52199, 506
1905, 53613, 573
1905, 53706, 577
1085, 52531, 66
2058, 53349, 591
691, 52199, 545
1905, 53613, 614
1905, 53706, 611
691, 52199, 74
1897, 53242, 77
419, 51812, 612
419, 51868, 618
419, 51879, 601
393, 51794, 27
1905, 53613, 33
1905, 53706, 23
1905, 53613, 29
1905, 53706, 34
691, 52199, 62
420, 51871, 388
657, 52177, 358
1084, 52591, 375
420, 51871, 278
1897, 53242, 637
420, 51871, 395
420, 51871, 281
692, 52201, 355
1084, 52591, 406
394, 51812, 238
394, 51876, 225
394, 51913, 227
691, 52199, 24
420, 51871, 242
420, 51871, 453
394, 51812, 459
394, 51876, 451
394, 51913, 451
692, 52201, 219
420, 51871, 137
420, 51871, 484
394, 51812, 13
394, 51876, 19
394, 51913, 20
657, 52177, 511
692, 52201, 557
693, 52254, 357
657, 52177, 569
1083, 52520, 245
658, 52146, 342
692, 52201, 120
692, 52201, 617
420, 51871, 60
420, 51871, 591
693, 52254, 286
693, 52254, 246
1083, 52520, 108
421, 51821, 208
693, 52254, 500
396, 51816, 262
693, 52254, 97
658, 52146, 571
693, 52254, 558
2328, 53728, 388
396, 51816, 235
421, 51821, 595
396, 51816, 508
659, 52199, 381
694, 52209, 438
396, 51816, 460
2328, 53728, 379
693, 52254, 630
2328, 53728, 156
694, 52209, 180
2825, 54439, 400
2804, 54368, 236
2864, 54467, 292
2864, 54467, 344
659, 52199, 542
2825, 54439, 431
2864, 54467, 355
2825, 54439, 480
2825, 54439, 182
2825, 54439, 442
2825, 54439, 195
422, 51811, 74
422, 51878, 65
422, 51811, 543
422, 51878, 546
